model,task,task_level,layer,n_items,majority,rand_acc,selectivity,delta,expected_layer,acc_mean,acc_std,f1_mean,f1_std,group,l1,prof_level,mode
rubert,Number,token,6,9169,0.7424,0.7424,0.2274,-0.0056,0.0901,0.9698,0.0009,0.9514,0.0014,A1,all,A1,pooled
rubert,Number,token,6,23220,0.7424,0.7424,0.226,-0.0053,0.0514,0.9685,0.002,0.9552,0.0028,A2,all,A2,pooled
rubert,Number,token,6,42999,0.7424,0.7424,0.2349,-0.0012,0.0541,0.9773,0.0006,0.9705,0.0008,B1,all,B1,pooled
rubert,Number,token,6,58221,0.7424,0.7424,0.2358,-0.0028,0.0677,0.9782,0.0018,0.9731,0.0022,B2,all,B2,pooled
rubert,Number,token,6,49838,0.7424,0.7424,0.2356,-0.0026,0.072,0.978,0.0002,0.9708,0.0004,C1,all,C1,pooled
rubert,Number,token,7,9169,0.7424,0.7424,0.2192,-0.0082,0.0901,0.9616,0.0026,0.9384,0.0041,A1,all,A1,pooled
rubert,Number,token,7,23220,0.7424,0.7424,0.2221,-0.0039,0.0514,0.9646,0.0006,0.9493,0.0011,A2,all,A2,pooled
rubert,Number,token,7,42999,0.7424,0.7424,0.2308,-0.0041,0.0541,0.9732,0.0003,0.965,0.0004,B1,all,B1,pooled
rubert,Number,token,7,58221,0.7424,0.7424,0.2316,-0.0041,0.0677,0.974,0.0012,0.968,0.0014,B2,all,B2,pooled
rubert,Number,token,7,49838,0.7424,0.7424,0.2325,-0.0031,0.072,0.9749,0.0008,0.9666,0.0011,C1,all,C1,pooled
rubert,Number,token,8,9169,0.7424,0.7424,0.2088,-0.0104,0.0901,0.9512,0.0031,0.9218,0.0054,A1,all,A1,pooled
rubert,Number,token,8,23220,0.7424,0.7424,0.2163,-0.0058,0.0514,0.9587,0.0022,0.9411,0.0032,A2,all,A2,pooled
rubert,Number,token,8,42999,0.7424,0.7424,0.2247,-0.0061,0.0541,0.9671,0.0007,0.957,0.0008,B1,all,B1,pooled
rubert,Number,token,8,58221,0.7424,0.7424,0.2248,-0.0068,0.0677,0.9672,0.0014,0.9595,0.0017,B2,all,B2,pooled
rubert,Number,token,8,49838,0.7424,0.7424,0.2257,-0.0068,0.072,0.9682,0.0013,0.9576,0.0016,C1,all,C1,pooled
rubert,Number,token,9,9169,0.7424,0.7424,0.2025,-0.0063,0.0901,0.9449,0.0038,0.9121,0.0058,A1,all,A1,pooled
rubert,Number,token,9,23220,0.7424,0.7424,0.2105,-0.0058,0.0514,0.953,0.0006,0.9326,0.0011,A2,all,A2,pooled
rubert,Number,token,9,42999,0.7424,0.7424,0.2192,-0.0054,0.0541,0.9617,0.0008,0.9498,0.0011,B1,all,B1,pooled
rubert,Number,token,9,58221,0.7424,0.7424,0.2183,-0.0064,0.0677,0.9608,0.0022,0.9515,0.0027,B2,all,B2,pooled
rubert,Number,token,9,49838,0.7424,0.7424,0.2204,-0.0053,0.072,0.9628,0.0008,0.9504,0.0009,C1,all,C1,pooled
rubert,Number,token,10,9169,0.7424,0.7424,0.1956,-0.0069,0.0901,0.9381,0.0045,0.9016,0.0076,A1,all,A1,pooled
rubert,Number,token,10,23220,0.7424,0.7424,0.2064,-0.0041,0.0514,0.9489,0.0011,0.9267,0.0018,A2,all,A2,pooled
rubert,Number,token,10,42999,0.7424,0.7424,0.2157,-0.0035,0.0541,0.9581,0.0007,0.9452,0.0009,B1,all,B1,pooled
rubert,Number,token,10,58221,0.7424,0.7424,0.2134,-0.0049,0.0677,0.9558,0.0019,0.9454,0.0023,B2,all,B2,pooled
rubert,Number,token,10,49838,0.7424,0.7424,0.2152,-0.0052,0.072,0.9576,0.0017,0.9433,0.0022,C1,all,C1,pooled
rubert,Number,token,11,9169,0.7424,0.7424,0.1915,-0.0041,0.0901,0.9339,0.0047,0.8947,0.0072,A1,all,A1,pooled
rubert,Number,token,11,23220,0.7424,0.7424,0.2048,-0.0017,0.0514,0.9472,0.0002,0.9242,0.0007,A2,all,A2,pooled
rubert,Number,token,11,42999,0.7424,0.7424,0.2107,-0.005,0.0541,0.9532,0.0019,0.9385,0.0024,B1,all,B1,pooled
rubert,Number,token,11,58221,0.7424,0.7424,0.2081,-0.0053,0.0677,0.9506,0.0016,0.9388,0.0019,B2,all,B2,pooled
rubert,Number,token,11,49838,0.7424,0.7424,0.2104,-0.0049,0.072,0.9528,0.0014,0.9368,0.0018,C1,all,C1,pooled
rubert,Number,token,12,9169,0.7424,0.7424,0.1926,0.0011,0.0901,0.935,0.0056,0.8949,0.0092,A1,all,A1,pooled
rubert,Number,token,12,23220,0.7424,0.7424,0.1953,-0.0095,0.0514,0.9377,0.0023,0.9102,0.0038,A2,all,A2,pooled
rubert,Number,token,12,42999,0.7424,0.7424,0.2003,-0.0104,0.0541,0.9427,0.0007,0.9247,0.001,B1,all,B1,pooled
rubert,Number,token,12,58221,0.7424,0.7424,0.1974,-0.0108,0.0677,0.9398,0.0014,0.9254,0.0018,B2,all,B2,pooled
rubert,Number,token,12,49838,0.7424,0.7424,0.1993,-0.0111,0.072,0.9417,0.0023,0.9217,0.0029,C1,all,C1,pooled
rubert,Number,token,12,183447,0.7424,0.7424,0.0,0.0,-1.0,0.7424,0.0,0.4261,0.0,random_baseline,all,n/a,pooled
rubert,Person,token,0,3086,0.5262,0.501,0.4934,0.9945,0.0085,0.9945,0.0009,0.9894,0.0025,A1,all,A1,pooled
rubert,Person,token,0,7067,0.5262,0.501,0.4947,0.9958,0.0044,0.9958,0.0006,0.9897,0.0017,A2,all,A2,pooled
rubert,Person,token,0,11691,0.5262,0.501,0.4944,0.9955,0.0056,0.9955,0.0005,0.9905,0.0013,B1,all,B1,pooled
rubert,Person,token,0,12794,0.5262,0.501,0.4965,0.9975,0.0017,0.9975,0.0003,0.9913,0.0008,B2,all,B2,pooled
rubert,Person,token,0,10190,0.5262,0.501,0.4955,0.9966,0.0018,0.9966,0.0007,0.9901,0.0014,C1,all,C1,pooled
rubert,Person,token,1,3086,0.5262,0.501,0.4934,-0.0,0.0085,0.9945,0.0005,0.9887,0.002,A1,all,A1,pooled
rubert,Person,token,1,7067,0.5262,0.501,0.495,0.0003,0.0044,0.996,0.0009,0.9903,0.0023,A2,all,A2,pooled
rubert,Person,token,1,11691,0.5262,0.501,0.495,0.0006,0.0056,0.9961,0.0005,0.9917,0.001,B1,all,B1,pooled
rubert,Person,token,1,12794,0.5262,0.501,0.4965,-0.0,0.0017,0.9975,0.0003,0.9916,0.0011,B2,all,B2,pooled
rubert,Person,token,1,10190,0.5262,0.501,0.4953,-0.0002,0.0018,0.9964,0.0008,0.9898,0.0013,C1,all,C1,pooled
rubert,Person,token,2,3086,0.5262,0.501,0.4931,-0.0003,0.0085,0.9942,0.0008,0.9877,0.0023,A1,all,A1,pooled
rubert,Person,token,2,7067,0.5262,0.501,0.4947,-0.0003,0.0044,0.9958,0.0007,0.9897,0.0024,A2,all,A2,pooled
rubert,Person,token,2,11691,0.5262,0.501,0.4946,-0.0004,0.0056,0.9956,0.0006,0.9913,0.0009,B1,all,B1,pooled
rubert,Person,token,2,12794,0.5262,0.501,0.4967,0.0002,0.0017,0.9977,0.0004,0.9926,0.0012,B2,all,B2,pooled
rubert,Person,token,2,10190,0.5262,0.501,0.4956,0.0003,0.0018,0.9967,0.0006,0.9907,0.0007,C1,all,C1,pooled
rubert,Person,token,3,3086,0.5262,0.501,0.4934,0.0003,0.0085,0.9945,0.0009,0.9908,0.0031,A1,all,A1,pooled
rubert,Person,token,3,7067,0.5262,0.501,0.4951,0.0004,0.0044,0.9962,0.0006,0.9907,0.0008,A2,all,A2,pooled
rubert,Person,token,3,11691,0.5262,0.501,0.4951,0.0005,0.0056,0.9962,0.0008,0.9921,0.0015,B1,all,B1,pooled
rubert,Person,token,3,12794,0.5262,0.501,0.4965,-0.0002,0.0017,0.9976,0.0004,0.9919,0.0019,B2,all,B2,pooled
rubert,Person,token,3,10190,0.5262,0.501,0.4956,-0.0,0.0018,0.9967,0.001,0.9907,0.0019,C1,all,C1,pooled
rubert,Person,token,4,3086,0.5262,0.501,0.4941,0.0006,0.0085,0.9951,0.0008,0.992,0.0034,A1,all,A1,pooled
rubert,Person,token,4,7067,0.5262,0.501,0.4947,-0.0004,0.0044,0.9958,0.0009,0.9897,0.0007,A2,all,A2,pooled
rubert,Person,token,4,11691,0.5262,0.501,0.496,0.0009,0.0056,0.997,0.0007,0.9938,0.0017,B1,all,B1,pooled
rubert,Person,token,4,12794,0.5262,0.501,0.4968,0.0003,0.0017,0.9979,0.0005,0.9929,0.0016,B2,all,B2,pooled
rubert,Person,token,4,10190,0.5262,0.501,0.4959,0.0003,0.0018,0.997,0.0006,0.9916,0.0006,C1,all,C1,pooled
rubert,Person,token,5,3086,0.5262,0.501,0.4951,0.001,0.0085,0.9961,0.0014,0.9934,0.0042,A1,all,A1,pooled
rubert,Person,token,5,7067,0.5262,0.501,0.4953,0.0006,0.0044,0.9963,0.001,0.9918,0.0009,A2,all,A2,pooled
rubert,Person,token,5,11691,0.5262,0.501,0.4955,-0.0004,0.0056,0.9966,0.0008,0.9927,0.0018,B1,all,B1,pooled
rubert,Person,token,5,12794,0.5262,0.501,0.4967,-0.0002,0.0017,0.9977,0.001,0.9928,0.0024,B2,all,B2,pooled
rubert,Person,token,5,10190,0.5262,0.501,0.4956,-0.0003,0.0018,0.9967,0.0012,0.9912,0.0035,C1,all,C1,pooled
rubert,Person,token,6,3086,0.5262,0.501,0.4941,-0.001,0.0085,0.9951,0.0008,0.9906,0.0024,A1,all,A1,pooled
rubert,Person,token,6,7067,0.5262,0.501,0.4948,-0.0004,0.0044,0.9959,0.0007,0.9908,0.0005,A2,all,A2,pooled
rubert,Person,token,6,11691,0.5262,0.501,0.4953,-0.0003,0.0056,0.9963,0.0003,0.9929,0.0007,B1,all,B1,pooled
rubert,Person,token,6,12794,0.5262,0.501,0.4957,-0.001,0.0017,0.9967,0.0004,0.9899,0.0004,B2,all,B2,pooled
rubert,Person,token,6,10190,0.5262,0.501,0.4955,-0.0001,0.0018,0.9966,0.0013,0.9911,0.0031,C1,all,C1,pooled
rubert,Person,token,7,3086,0.5262,0.501,0.4938,-0.0003,0.0085,0.9948,0.0017,0.9888,0.0051,A1,all,A1,pooled
rubert,Person,token,7,7067,0.5262,0.501,0.4934,-0.0014,0.0044,0.9945,0.0007,0.9874,0.0033,A2,all,A2,pooled
rubert,Person,token,7,11691,0.5262,0.501,0.4941,-0.0012,0.0056,0.9951,0.0,0.9902,0.0004,B1,all,B1,pooled
rubert,Person,token,7,12794,0.5262,0.501,0.4949,-0.0008,0.0017,0.9959,0.0005,0.9888,0.0006,B2,all,B2,pooled
rubert,Person,token,7,10190,0.5262,0.501,0.4941,-0.0014,0.0018,0.9952,0.0006,0.9877,0.0016,C1,all,C1,pooled
rubert,Person,token,8,3086,0.5262,0.501,0.4921,-0.0016,0.0085,0.9932,0.0014,0.9868,0.0001,A1,all,A1,pooled
rubert,Person,token,8,7067,0.5262,0.501,0.4929,-0.0006,0.0044,0.9939,0.001,0.9857,0.0048,A2,all,A2,pooled
rubert,Person,token,8,11691,0.5262,0.501,0.4933,-0.0008,0.0056,0.9944,0.0011,0.9892,0.0016,B1,all,B1,pooled
rubert,Person,token,8,12794,0.5262,0.501,0.494,-0.0009,0.0017,0.9951,0.0008,0.9872,0.0012,B2,all,B2,pooled
rubert,Person,token,8,10190,0.5262,0.501,0.4933,-0.0009,0.0018,0.9943,0.0005,0.9858,0.0022,C1,all,C1,pooled
rubert,Person,token,9,3086,0.5262,0.501,0.4889,-0.0032,0.0085,0.99,0.002,0.9806,0.0033,A1,all,A1,pooled
rubert,Person,token,9,7067,0.5262,0.501,0.4913,-0.0016,0.0044,0.9924,0.0022,0.9838,0.004,A2,all,A2,pooled
rubert,Person,token,9,11691,0.5262,0.501,0.4919,-0.0015,0.0056,0.9929,0.0012,0.9861,0.0022,B1,all,B1,pooled
rubert,Person,token,9,12794,0.5262,0.501,0.4924,-0.0016,0.0017,0.9934,0.0009,0.9838,0.0009,B2,all,B2,pooled
rubert,Person,token,9,10190,0.5262,0.501,0.4909,-0.0024,0.0018,0.992,0.0019,0.9815,0.0052,C1,all,C1,pooled
rubert,Person,token,10,3086,0.5262,0.501,0.486,-0.0029,0.0085,0.987,0.0017,0.9785,0.0017,A1,all,A1,pooled
rubert,Person,token,10,7067,0.5262,0.501,0.4895,-0.0018,0.0044,0.9905,0.0018,0.9811,0.0026,A2,all,A2,pooled
rubert,Person,token,10,11691,0.5262,0.501,0.4912,-0.0007,0.0056,0.9922,0.0006,0.9858,0.002,B1,all,B1,pooled
rubert,Person,token,10,12794,0.5262,0.501,0.4905,-0.0019,0.0017,0.9916,0.0004,0.9813,0.0004,B2,all,B2,pooled
rubert,Person,token,10,10190,0.5262,0.501,0.4885,-0.0024,0.0018,0.9896,0.0021,0.9766,0.0055,C1,all,C1,pooled
rubert,Person,token,11,3086,0.5262,0.501,0.4824,-0.0036,0.0085,0.9835,0.0024,0.9715,0.0028,A1,all,A1,pooled
rubert,Person,token,11,7067,0.5262,0.501,0.4869,-0.0025,0.0044,0.988,0.0012,0.9739,0.0014,A2,all,A2,pooled
rubert,Person,token,11,11691,0.5262,0.501,0.4876,-0.0036,0.0056,0.9886,0.0008,0.9799,0.0015,B1,all,B1,pooled
rubert,Person,token,11,12794,0.5262,0.501,0.4885,-0.002,0.0017,0.9895,0.0006,0.9778,0.0,B2,all,B2,pooled
rubert,Person,token,11,10190,0.5262,0.501,0.4869,-0.0017,0.0018,0.9879,0.0025,0.9744,0.0064,C1,all,C1,pooled
rubert,Person,token,12,3086,0.5262,0.501,0.4759,-0.0065,0.0085,0.977,0.0052,0.9551,0.0074,A1,all,A1,pooled
rubert,Person,token,12,7067,0.5262,0.501,0.4814,-0.0055,0.0044,0.9825,0.0005,0.967,0.0026,A2,all,A2,pooled
rubert,Person,token,12,11691,0.5262,0.501,0.483,-0.0046,0.0056,0.984,0.0019,0.9738,0.0053,B1,all,B1,pooled
rubert,Person,token,12,12794,0.5262,0.501,0.4852,-0.0033,0.0017,0.9862,0.0004,0.9708,0.0009,B2,all,B2,pooled
rubert,Person,token,12,10190,0.5262,0.501,0.4823,-0.0046,0.0018,0.9833,0.0023,0.9654,0.0056,C1,all,C1,pooled
rubert,Person,token,12,44828,0.5262,0.501,0.0,0.0,-1.0,0.501,0.001,0.311,0.001,random_baseline,all,n/a,pooled
rubert,Mood,token,0,2177,0.986,0.9852,0.0042,0.9894,0.0185,0.9894,0.0017,0.8751,0.0257,A1,all,A1,pooled
rubert,Mood,token,0,5061,0.986,0.9852,0.0092,0.9945,0.0113,0.9945,0.0007,0.9045,0.0171,A2,all,A2,pooled
rubert,Mood,token,0,9007,0.986,0.9852,0.0113,0.9966,0.0069,0.9966,0.0008,0.9463,0.0121,B1,all,B1,pooled
rubert,Mood,token,0,11436,0.986,0.9852,0.0112,0.9964,0.0053,0.9964,0.0007,0.8805,0.0232,B2,all,B2,pooled
rubert,Mood,token,0,9362,0.986,0.9852,0.0107,0.9959,0.0049,0.9959,0.0007,0.9171,0.0166,C1,all,C1,pooled
rubert,Mood,token,1,2177,0.986,0.9852,0.0047,0.0005,0.0185,0.9899,0.0023,0.8829,0.027,A1,all,A1,pooled
rubert,Mood,token,1,5061,0.986,0.9852,0.009,-0.0002,0.0113,0.9943,0.0015,0.9013,0.0301,A2,all,A2,pooled
rubert,Mood,token,1,9007,0.986,0.9852,0.0112,-0.0001,0.0069,0.9964,0.0004,0.945,0.0063,B1,all,B1,pooled
rubert,Mood,token,1,11436,0.986,0.9852,0.0116,0.0004,0.0053,0.9969,0.0004,0.8982,0.0106,B2,all,B2,pooled
rubert,Mood,token,1,9362,0.986,0.9852,0.0112,0.0005,0.0049,0.9965,0.0005,0.9302,0.0091,C1,all,C1,pooled
rubert,Mood,token,2,2177,0.986,0.9852,0.006,0.0014,0.0185,0.9913,0.0013,0.904,0.0107,A1,all,A1,pooled
rubert,Mood,token,2,5061,0.986,0.9852,0.0086,-0.0004,0.0113,0.9939,0.002,0.894,0.0395,A2,all,A2,pooled
rubert,Mood,token,2,9007,0.986,0.9852,0.0117,0.0004,0.0069,0.9969,0.0007,0.9516,0.0105,B1,all,B1,pooled
rubert,Mood,token,2,11436,0.986,0.9852,0.0123,0.0007,0.0053,0.9976,0.0004,0.9233,0.0139,B2,all,B2,pooled
rubert,Mood,token,2,9362,0.986,0.9852,0.0107,-0.0005,0.0049,0.9959,0.0004,0.92,0.0055,C1,all,C1,pooled
rubert,Mood,token,3,2177,0.986,0.9852,0.0056,-0.0005,0.0185,0.9908,0.0026,0.8981,0.0274,A1,all,A1,pooled
rubert,Mood,token,3,5061,0.986,0.9852,0.0086,0.0,0.0113,0.9939,0.0012,0.8947,0.0259,A2,all,A2,pooled
rubert,Mood,token,3,9007,0.986,0.9852,0.0117,0.0,0.0069,0.9969,0.0006,0.9522,0.009,B1,all,B1,pooled
rubert,Mood,token,3,11436,0.986,0.9852,0.0128,0.0005,0.0053,0.9981,0.0005,0.9405,0.0165,B2,all,B2,pooled
rubert,Mood,token,3,9362,0.986,0.9852,0.0111,0.0004,0.0049,0.9964,0.0004,0.9295,0.0067,C1,all,C1,pooled
rubert,Mood,token,4,2177,0.986,0.9852,0.0074,0.0018,0.0185,0.9927,0.0023,0.922,0.0224,A1,all,A1,pooled
rubert,Mood,token,4,5061,0.986,0.9852,0.009,0.0004,0.0113,0.9943,0.001,0.9021,0.0247,A2,all,A2,pooled
rubert,Mood,token,4,9007,0.986,0.9852,0.0118,0.0001,0.0069,0.997,0.0005,0.9547,0.0082,B1,all,B1,pooled
rubert,Mood,token,4,11436,0.986,0.9852,0.0129,0.0001,0.0053,0.9982,0.0004,0.9429,0.0106,B2,all,B2,pooled
rubert,Mood,token,4,9362,0.986,0.9852,0.0113,0.0002,0.0049,0.9966,0.0005,0.9324,0.0112,C1,all,C1,pooled
rubert,Mood,token,5,2177,0.986,0.9852,0.0083,0.0009,0.0185,0.9936,0.0026,0.9314,0.0273,A1,all,A1,pooled
rubert,Mood,token,5,5061,0.986,0.9852,0.0092,0.0002,0.0113,0.9945,0.0007,0.9102,0.0171,A2,all,A2,pooled
rubert,Mood,token,5,9007,0.986,0.9852,0.0121,0.0003,0.0069,0.9973,0.0005,0.9598,0.0085,B1,all,B1,pooled
rubert,Mood,token,5,11436,0.986,0.9852,0.0131,0.0002,0.0053,0.9983,0.0001,0.9471,0.0035,B2,all,B2,pooled
rubert,Mood,token,5,9362,0.986,0.9852,0.0107,-0.0006,0.0049,0.9959,0.0002,0.9208,0.0062,C1,all,C1,pooled
rubert,Mood,token,6,2177,0.986,0.9852,0.0065,-0.0018,0.0185,0.9917,0.0034,0.9095,0.0361,A1,all,A1,pooled
rubert,Mood,token,6,5061,0.986,0.9852,0.0092,0.0,0.0113,0.9945,0.0014,0.9082,0.0249,A2,all,A2,pooled
rubert,Mood,token,6,9007,0.986,0.9852,0.0119,-0.0002,0.0069,0.9971,0.0006,0.9555,0.0094,B1,all,B1,pooled
rubert,Mood,token,6,11436,0.986,0.9852,0.013,-0.0001,0.0053,0.9983,0.0002,0.944,0.0079,B2,all,B2,pooled
rubert,Mood,token,6,9362,0.986,0.9852,0.0109,0.0002,0.0049,0.9962,0.0,0.9245,0.0038,C1,all,C1,pooled
rubert,Mood,token,7,2177,0.986,0.9852,0.007,0.0005,0.0185,0.9922,0.0028,0.9133,0.0319,A1,all,A1,pooled
rubert,Mood,token,7,5061,0.986,0.9852,0.0096,0.0004,0.0113,0.9949,0.001,0.9121,0.0219,A2,all,A2,pooled
rubert,Mood,token,7,9007,0.986,0.9852,0.0124,0.0006,0.0069,0.9977,0.0003,0.965,0.0038,B1,all,B1,pooled
rubert,Mood,token,7,11436,0.986,0.9852,0.0126,-0.0004,0.0053,0.9978,0.0005,0.9298,0.0147,B2,all,B2,pooled
rubert,Mood,token,7,9362,0.986,0.9852,0.0108,-0.0001,0.0049,0.996,0.0006,0.9219,0.0095,C1,all,C1,pooled
rubert,Mood,token,8,2177,0.986,0.9852,0.007,0.0,0.0185,0.9922,0.0017,0.9117,0.0198,A1,all,A1,pooled
rubert,Mood,token,8,5061,0.986,0.9852,0.0094,-0.0002,0.0113,0.9947,0.001,0.9093,0.0153,A2,all,A2,pooled
rubert,Mood,token,8,9007,0.986,0.9852,0.0113,-0.0011,0.0069,0.9966,0.0004,0.9479,0.0068,B1,all,B1,pooled
rubert,Mood,token,8,11436,0.986,0.9852,0.0127,0.0001,0.0053,0.9979,0.0002,0.9314,0.0062,B2,all,B2,pooled
rubert,Mood,token,8,9362,0.986,0.9852,0.0108,0.0,0.0049,0.996,0.0008,0.9219,0.0149,C1,all,C1,pooled
rubert,Mood,token,9,2177,0.986,0.9852,0.0065,-0.0005,0.0185,0.9917,0.0011,0.9078,0.0106,A1,all,A1,pooled
rubert,Mood,token,9,5061,0.986,0.9852,0.0088,-0.0006,0.0113,0.9941,0.0013,0.8978,0.0234,A2,all,A2,pooled
rubert,Mood,token,9,9007,0.986,0.9852,0.0113,-0.0,0.0069,0.9966,0.0016,0.9471,0.0248,B1,all,B1,pooled
rubert,Mood,token,9,11436,0.986,0.9852,0.0123,-0.0003,0.0053,0.9976,0.0004,0.9191,0.0138,B2,all,B2,pooled
rubert,Mood,token,9,9362,0.986,0.9852,0.0109,0.0001,0.0049,0.9962,0.0009,0.9266,0.017,C1,all,C1,pooled
rubert,Mood,token,10,2177,0.986,0.9852,0.0065,0.0,0.0185,0.9917,0.0011,0.9101,0.006,A1,all,A1,pooled
rubert,Mood,token,10,5061,0.986,0.9852,0.0094,0.0006,0.0113,0.9947,0.0005,0.9063,0.0122,A2,all,A2,pooled
rubert,Mood,token,10,9007,0.986,0.9852,0.0108,-0.0006,0.0069,0.996,0.0017,0.9387,0.0254,B1,all,B1,pooled
rubert,Mood,token,10,11436,0.986,0.9852,0.0113,-0.001,0.0053,0.9965,0.0003,0.8799,0.0118,B2,all,B2,pooled
rubert,Mood,token,10,9362,0.986,0.9852,0.0106,-0.0003,0.0049,0.9958,0.0005,0.9184,0.0125,C1,all,C1,pooled
rubert,Mood,token,11,2177,0.986,0.9852,0.0056,-0.0009,0.0185,0.9908,0.0023,0.8962,0.0222,A1,all,A1,pooled
rubert,Mood,token,11,5061,0.986,0.9852,0.0092,-0.0002,0.0113,0.9945,0.0016,0.9018,0.0345,A2,all,A2,pooled
rubert,Mood,token,11,9007,0.986,0.9852,0.0102,-0.0006,0.0069,0.9954,0.0006,0.9293,0.0088,B1,all,B1,pooled
rubert,Mood,token,11,11436,0.986,0.9852,0.0109,-0.0003,0.0053,0.9962,0.001,0.8653,0.0386,B2,all,B2,pooled
rubert,Mood,token,11,9362,0.986,0.9852,0.0101,-0.0005,0.0049,0.9953,0.0004,0.9056,0.0085,C1,all,C1,pooled
rubert,Mood,token,12,2177,0.986,0.9852,0.0047,-0.0009,0.0185,0.9899,0.0026,0.8838,0.0245,A1,all,A1,pooled
rubert,Mood,token,12,5061,0.986,0.9852,0.0073,-0.002,0.0113,0.9925,0.0016,0.8676,0.0289,A2,all,A2,pooled
rubert,Mood,token,12,9007,0.986,0.9852,0.0092,-0.001,0.0069,0.9944,0.0008,0.9117,0.0126,B1,all,B1,pooled
rubert,Mood,token,12,11436,0.986,0.9852,0.0108,-0.0001,0.0053,0.9961,0.0,0.8592,0.0024,B2,all,B2,pooled
rubert,Mood,token,12,9362,0.986,0.9852,0.0095,-0.0005,0.0049,0.9948,0.0007,0.8927,0.0127,C1,all,C1,pooled
rubert,Mood,token,12,37043,0.986,0.9852,0.0,0.0,-1.0,0.9852,0.0001,0.4963,0.0,random_baseline,all,n/a,pooled
xlmr,Aspect,token,0,2811,0.7048,0.7026,0.2551,0.9577,0.0452,0.9577,0.0028,0.9417,0.0034,A1,all,A1,pooled
xlmr,Aspect,token,0,6784,0.7048,0.7026,0.2656,0.9682,0.0091,0.9682,0.0044,0.96,0.0055,A2,all,A2,pooled
xlmr,Aspect,token,0,12797,0.7048,0.7026,0.2666,0.9691,0.0365,0.9691,0.0013,0.9628,0.0016,B1,all,B1,pooled
xlmr,Aspect,token,0,15941,0.7048,0.7026,0.2649,0.9675,0.0473,0.9675,0.0003,0.9613,0.0004,B2,all,B2,pooled
xlmr,Aspect,token,0,13156,0.7048,0.7026,0.2617,0.9643,0.0428,0.9643,0.003,0.9582,0.0036,C1,all,C1,pooled
xlmr,Aspect,token,1,2811,0.7048,0.7026,0.2562,0.0011,0.0452,0.9587,0.0028,0.9432,0.0039,A1,all,A1,pooled
xlmr,Aspect,token,1,6784,0.7048,0.7026,0.262,-0.0035,0.0091,0.9646,0.0037,0.9557,0.0046,A2,all,A2,pooled
xlmr,Aspect,token,1,12797,0.7048,0.7026,0.2615,-0.0051,0.0365,0.9641,0.0025,0.9567,0.0029,B1,all,B1,pooled
xlmr,Aspect,token,1,15941,0.7048,0.7026,0.262,-0.0029,0.0473,0.9646,0.0014,0.9579,0.0017,B2,all,B2,pooled
xlmr,Aspect,token,1,13156,0.7048,0.7026,0.2584,-0.0033,0.0428,0.961,0.004,0.9545,0.0047,C1,all,C1,pooled
xlmr,Aspect,token,2,2811,0.7048,0.7026,0.259,0.0028,0.0452,0.9616,0.0031,0.9467,0.0039,A1,all,A1,pooled
xlmr,Aspect,token,2,6784,0.7048,0.7026,0.2589,-0.0031,0.0091,0.9615,0.0031,0.9519,0.004,A2,all,A2,pooled
xlmr,Aspect,token,2,12797,0.7048,0.7026,0.2609,-0.0005,0.0365,0.9635,0.0016,0.9561,0.0019,B1,all,B1,pooled
xlmr,Aspect,token,2,15941,0.7048,0.7026,0.2609,-0.0012,0.0473,0.9634,0.0005,0.9565,0.0006,B2,all,B2,pooled
xlmr,Aspect,token,2,13156,0.7048,0.7026,0.2563,-0.0021,0.0428,0.9589,0.0035,0.9521,0.0041,C1,all,C1,pooled
xlmr,Aspect,token,3,2811,0.7048,0.7026,0.2562,-0.0028,0.0452,0.9587,0.0041,0.943,0.0053,A1,all,A1,pooled
xlmr,Aspect,token,3,6784,0.7048,0.7026,0.2615,0.0025,0.0091,0.964,0.0002,0.9549,0.0003,A2,all,A2,pooled
xlmr,Aspect,token,3,12797,0.7048,0.7026,0.2637,0.0028,0.0365,0.9663,0.0013,0.9594,0.0017,B1,all,B1,pooled
xlmr,Aspect,token,3,15941,0.7048,0.7026,0.2652,0.0044,0.0473,0.9678,0.0018,0.9617,0.0022,B2,all,B2,pooled
xlmr,Aspect,token,3,13156,0.7048,0.7026,0.2606,0.0043,0.0428,0.9631,0.0021,0.957,0.0024,C1,all,C1,pooled
xlmr,Aspect,token,4,2811,0.7048,0.7026,0.259,0.0028,0.0452,0.9616,0.0026,0.9469,0.0035,A1,all,A1,pooled
xlmr,Aspect,token,4,6784,0.7048,0.7026,0.2616,0.0001,0.0091,0.9642,0.0007,0.9551,0.001,A2,all,A2,pooled
xlmr,Aspect,token,4,12797,0.7048,0.7026,0.2682,0.0045,0.0365,0.9708,0.0019,0.9648,0.0023,B1,all,B1,pooled
xlmr,Aspect,token,4,15941,0.7048,0.7026,0.2701,0.0049,0.0473,0.9727,0.0009,0.9676,0.0011,B2,all,B2,pooled
xlmr,Aspect,token,4,13156,0.7048,0.7026,0.2644,0.0038,0.0428,0.9669,0.0021,0.9614,0.0024,C1,all,C1,pooled
xlmr,Aspect,token,5,2811,0.7048,0.7026,0.2583,-0.0007,0.0452,0.9609,0.0044,0.946,0.0058,A1,all,A1,pooled
xlmr,Aspect,token,5,6784,0.7048,0.7026,0.2618,0.0001,0.0091,0.9643,0.001,0.9553,0.0014,A2,all,A2,pooled
